"label","batch","species","mean"
0.233457662984106,0.0615295437086569,"0",0.0138452684561366
0.280269258306485,0.0432524152404826,"11",0.0221534179418899
0.318971278429787,0.0323186203876487,"12",0.0162400248245253
0.25598939357416,0.0425774033553296,"17",0.035430262209293
0.25318147926823,0.0446291959164601,"23",0.0226409267669251
0.222923370370168,0.00310186104127141,"24",0.00527940367203842
0.266479327184697,0.0404588775960854,"26",0.0124518268572178
0.313369915010025,0.0185494663106605,"27",0.0317817013397882
0.222731259996737,0.0181730257552851,"28",0.00439127730044373
0.259555720746967,0.0411256251804826,"30",0.0179750529632931
0.292234080694306,0.0342875084358408,"34",0.0284081997723231
0.224038833017692,0.00639033649451048,"42",0.0124072837465932
0.314701191965117,0.0170043286712838,"43",0.0122584243995654
0.257145700357344,0.0570263806371814,"46",0.013094138759889
0.255504865453904,0.00552733417565954,"322",0.00162647787334147
0.205048321723302,0.0236182417654862,"339",0.00515023736866192
0.276492110525776,0.217486239601758,"509",0.000392512784998235
0.255140540573966,0.0110102963391649,"527",0.00262848516452001
0.213165650832829,0.0541838964199313,"529",0.00994522822044249
0.208066762251329,0.0987212383547649,"631",0.0026485986852071
0.227478057511445,0.151624153645437,"783",0.0129622601266297
0.220188691287701,0.00362040681474862,"897",0.000803980122688829
0.254533645959717,0.219771201547967,"920",0.000603382321196046
0.221455128888946,0.139294499858967,"1035",0.00695634308582188
0.238965288881432,0.047165681554896,"1117",0.00539421165368319
0.30073178170732,0.177342491482236,"1332",0.00126712578613513
0.202527105566698,0.180824087670637,"1591",0.0189745501812869
0.335044142104855,0.182809842287251,"1659",0.00084258238343422
0.26093884617694,0.0435650013818528,"1851",0.122706336263759
0.286922637907622,0.0903015054411487,"1883",0.0028855168039261
0.275325863731799,0.0215345991101974,"1936",0.00317755452005515
0.226977547609662,0.091287874116381,"2071",0.00314880256873669
0.202635642778016,0.0765250918742583,"2104",0.0103370819554335
0.332745808861506,0.0323631905304462,"2148",0.00449561423616979
0.209458285481554,0.032717832132932,"2417",0.0400222995542169
