"label","batch","species","mean"
0.265979147582184,0.0248118151341746,"7",0.00725817497482048
0.364121143808742,0.0236388361829392,"10",0.00641826591818052
0.359122971864931,0.0320765432679548,"12",0.00442031525152192
0.256636102668381,0.0258182411145522,"15",0.00731738730864205
0.327010731049694,0.0425327220052814,"16",0.0273444061943068
0.262207736757145,0.00355185736129326,"21",0.00155941268762731
0.268159448445247,0.0433685600978763,"23",0.00975173178298722
0.300242132189976,0.0127149318242514,"24",0.0139204020639351
0.249608338871461,0.019229616320258,"25",0.00128878343173602
0.264266862930066,0.0341142238030846,"27",0.0123992191860584
0.316202573765064,0.0404008133061036,"31",0.0130956764742904
0.236977082008468,0.00483490587134539,"35",0.00464420328562836
0.319389413328891,0.00981862943088507,"36",0.00223565549817506
0.288690079013619,0.0407323418607262,"39",0.0166409330416242
0.235908068757301,0.162639074438776,"540",0.000375202744274168
0.238411315822507,0.0494043342088878,"698",0.00567826825212388
0.210756954110862,0.0582390770531849,"846",0.00441849740571405
0.200359829198801,0.189256538435747,"895",0.000556797670734055
0.252426022750415,0.121455125176074,"922",0.0020422683286749
0.200742926299109,0.190214940443342,"1498",0.000470203821867217
0.204643110341012,0.0396180641612641,"1514",0.0460776550692876
0.219524951853228,0.0569669628507941,"1698",0.017830543944516
0.243845759210009,0.0219523267093935,"1853",0.00140267027294805
0.24426214612379,0.069017632353347,"1907",0.00029969418921052
0.20178264712101,0.0594369376755984,"2068",0.00141863238951072
0.236302309284389,0.0244955271985138,"2452",0.000826078583356641
0.219748340052278,0.140157562870021,"2754",0.000451626112258328
0.287386337921884,0.158346423797861,"3098",0.00337725282666349
0.228466941189928,0.200003383827876,"3224",0.00280226173726886
0.244746959875236,0.0965791741537303,"3273",0.00225237321431494
0.455533169586151,0.0478544550598049,"3470",0.322428921686918
0.231375759841051,0.21935711103532,"3481",0.000381987350096557
0.279296308639452,0.186889866174871,"3526",0.00174075694714059
0.216551837148478,0.012094777952987,"3630",0.00362013082891639
0.275986726812429,0.262392602002486,"3646",0.00262018570523488
0.219676267776409,0.0979936235580768,"3707",0.00195832319948598
0.282676699938568,0.188865871278787,"3782",0.000938388882127693
0.202285271447334,0.143572436209049,"3791",0.00164396215379545
0.316910003211561,0.0242332000206636,"3826",0.00765522852424943
0.20052136901007,0.0821867262251388,"3865",0.000404922219629891
