"label","batch","species","mean"
0.264734096826661,0.234162591861828,"126",0.000924744930302754
0.204712224436059,0.150915695475913,"130",0.000398181748488711
0.253160908507069,0.010984600904599,"275",0.00527585627693132
0.266209507319165,0.198499857146474,"389",0.00045553066756325
0.217265312579389,0.0107435060378591,"401",0.00285686536961361
0.207838617965667,0.051966224541962,"445",0.0003922882244327
0.274067051531222,0.0902171271307501,"496",0.00174950818937865
0.249775884311344,0.161869470606622,"528",0.000361538168790303
0.213197474296006,0.0663140721890336,"556",0.00138702270286561
0.217338740343012,0.0358874915788426,"588",0.00193511504118194
0.233914935524123,0.0324000981863419,"645",0.00104316335569697
0.302535630556401,0.225317635254461,"755",0.000501590580037209
0.29673549300355,0.181637499123522,"776",0.000430129604838377
0.211526595537277,0.02721857734306,"795",0.0116258246608492
0.209876954310149,0.163464374179497,"796",0.000843680006054074
0.201431896268406,0.102864669535474,"802",0.00115849214101169
0.289586360890084,0.234582582215799,"804",0.000207385428056256
0.225208576344368,0.16544585297773,"813",0.00306578128548642
0.221217171849204,0.0958433309560649,"821",0.000814699506542018
0.298845490326705,0.0457645865043126,"887",0.00341725498988089
0.229027086206094,0.0534865188084367,"1142",0.00270876113047504
0.246124865453404,0.105124698288354,"1179",0.00119426604041436
0.217708287724037,0.0161929582125864,"1191",0.00061953763209832
0.221374593697809,0.099039119757909,"1284",0.00265426894791097
0.277132078108029,0.0343038725856162,"1308",0.00869148048359344
0.209676855776872,0.0537590304398708,"1334",0.00807641580280479
0.226201172518279,0.183442191336928,"1347",0.000569461628288117
0.264397208100422,0.174112640090793,"1361",0.00257052423717198
0.218335490071321,0.144369066372821,"1441",0.000567788547899528
0.233433343192021,0.0141912389594742,"1468",0.00144324134187845
0.213495596065731,0.0868154604596958,"1471",0.00411032838814523
0.233679717855113,0.15223921745466,"1564",0.00103885677343452
0.220178811469757,0.1681988035211,"1568",0.000817388856583054
0.240697972269643,0.0403068783068784,"1782",0.00387430521359873
0.213625961556052,0.0149114957025654,"1803",0.00232496635677386
0.200617499789525,0.0771772373327023,"2340",0.00212076730007678
0.319607141385227,0.0418341848486086,"2421",0.00242255295630075
0.303548681593326,0.188573489873667,"2431",0.00046017102026858
0.309498470563921,0.306882160714989,"2432",0.00121079340332457
0.221247038129829,0.21002735807268,"2438",0.000671059096186126
0.23039943104655,0.167108163430652,"2479",0.000480126286664341
0.23651298773421,0.0550691532424737,"2497",0.00110685718302179
0.203238152494111,0.0848631511622777,"2506",0.00114203864344492
0.208407233257909,0.0837209235214892,"2590",0.00126394438009134
0.332253399296896,0.0268537829875526,"2611",0.000797652867547428
0.29688869312288,0.0241259249417648,"2622",0.00300978995749646
0.303680032955825,0.20471948958941,"2697",0.00224972138745549
0.237003552197571,0.0949323975281012,"2720",0.00163523649707003
0.276124843272795,0.0631066022619908,"2841",0.00318246688959089
0.262821359751966,0.158645020333567,"2852",0.00218398201873178
0.23798536299547,0.0195142388508605,"2855",0.0129554192054143
0.22422824128849,0.111401626756753,"2866",0.00105674324857332
0.205294531313941,0.0963748323735901,"2871",0.00105114720610163
0.252144750445345,0.089953995285456,"2927",0.00146606946351294
0.237324355507224,0.116309473936656,"2951",0.00148035709192138
0.202677917464808,0.085253078183788,"2993",0.00104354357043939
0.203641425995032,0.143744557467214,"2997",0.000938702373729038
